COD CURSO,NOME UNIDADE,COD ESTRUTURADO,COD DISCIPLINA,ID ATIV CURRIC,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,CH TOTAL,TIPO DISCIPLINA,NUM VERSAO,SIT VERSAO,TOTAL CH,SEMESTRE IDEAL,NUM MIN PERIODOS,NUM MAX PERIODOS,CH TOTAL CURSO,SIT ATIV,EMENTA
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0252,22655,TIN0252 - Algoritmos para Ciência de Dados,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0253,22656,TIN0253 - Análise Multiparadigma de Algoritmos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0254,22657,TIN0254 - Aplicações de Pesquisa Operacional,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0255,22658,TIN0255 - Aprendizagem Profunda,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0256,22659,TIN0256 - Estruturas de Dados Avançadas,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0257,22660,TIN0257 - Estruturas Discretas com Algoritmos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0258,22661,TIN0258 - Estudo de Problemas de Otimização Combinatória,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0259,22662,TIN0259 - Fluxos em Redes,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0260,22663,TIN0260 - Heurísticas Inteligentes: Técnicas e Aplicações,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0261,22664,TIN0261 - Introdução à Inteligência Artificial,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0262,22665,TIN0262 - Introdução Algorítmica a Grafos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0263,22666,TIN0263 - Modelagem e Ontologias,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0264,22667,TIN0264 - Processamento Baseado em Restrições,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0265,22668,TIN0265 - Técnicas de Programação Avançada,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0266,22669,TIN0266 - Tópicos em Algoritmos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0267,22670,TIN0267 - Tópicos em Aplicações de Lógica e Raciocínio Automatizado,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0268,22671,TIN0268 - Tópicos em Aprendizagem de Máquina,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0269,22672,TIN0269 - Tópicos em Engenharia de Ontologias,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0270,22673,TIN0270 - Tópicos em Processamento de Linguagem Natural,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0271,22674,TIN0271 - Desenvolvimento de Servidor Web,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0272,22675,TIN0272 - Engenharia de Sistemas Complexos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0273,22676,TIN0273 - Interfaces Móveis,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0274,22677,TIN0274 - Projeto de Jogos Digitais,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0275,22678,TIN0275 - Tópicos em Arquitetura de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0276,22679,"TIN0276 - Tópicos em Aspectos Humanos, Econômicos e Sociais de Software",6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0277,22680,TIN0277 - Tópicos em Construção de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0278,22681,TIN0278 - Tópicos em Engenharia de Requisitos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0279,22682,TIN0279 - Tópicos em Engenharia de Software Experimental,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0280,22683,TIN0280 - Tópicos em Gerência de Configuração de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0281,22684,TIN0281 - Tópicos em Gerência de Projetos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0282,22685,TIN0282 - Tópicos em Manutenção de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0283,22686,TIN0283 - Tópicos em Modelagem de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0284,22687,TIN0284 - Tópicos em Processos de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0285,22688,TIN0285 - Tópicos em Projeto de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0286,22689,TIN0286 - Tópicos em Qualidade de Software,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0287,22690,TIN0287 - Tópicos em Sistemas Colaborativos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0288,22691,"TIN0288 - Tópicos em Verificação, Validação e Testes de Software",6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0289,22692,TIN0289 - Banco de Dados Distribuídos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0290,22693,TIN0290 - Banco de Dados Não Convencionais,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0291,22694,TIN0291 - Projeto de Aplicações com Dados Abertos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0292,22695,TIN0292 - Recuperação de Informação,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0293,22696,TIN0293 - Séries Temporais,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0297,22700,TIN0297 - Automação,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0298,22701,TIN0298 - Ferramentas de Modelagem e Simulação para Avaliação de Desempenho,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0299,22702,TIN0299 - Gerenciamento de Redes e Serviços,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0300,22703,TIN0300 - Modelos de Sistemas de Computação e Comunicação,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0301,22704,TIN0301 - Redes Móveis e Computação Ubíqua,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0302,22705,TIN0302 - Segurança de Tecnologia da Informação,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0303,22706,TIN0303 - Serviços de Rede e Multimídia,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0304,22707,TIN0304 - Simulação Estocástica,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0305,22708,TIN0305 - Sistemas Distribuídos,6,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0307,22710,TIN0307 - Atividades de Extensão II,6,5,150,Obrigatória,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0151,15140,TIN0151 - FORMAÇÃO COMPLEMENTAR-I,7,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0294,22697,TIN0294 - Descoberta de Conhecimento em Dados,7,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0295,22698,TIN0295 - Processamento e Mineração de Texto,7,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0296,22699,TIN0296 - Projetos de Ciência de Dados para o Bem-Estar Social,7,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0308,22711,TIN0308 - Projeto de Graduação I,7,3,60,Obrigatória,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0152,15141,TIN0152 - FORMAÇÃO COMPLEMENTAR II,8,4,60,Optativa,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0309,22712,TIN0309 - Projeto de Graduação II,8,2,60,Obrigatória,2023/2,CORRENTE,3000,8,8,12,3000,ATIVA,[object Object]